"","LATITUDE","LONGITUDE"
"330015",40.751255,-73.97116
"330023",40.79175,-73.978676
"330038",40.760773,-73.9767
"330046",40.79094,-73.947235
"330083",40.803417,-73.93517
"330088",40.753586,-73.98083
"330094",40.863018,-73.917564
"330100",40.86446,-73.91895
"330122",40.7556,-73.97607
"330125",40.75927,-73.980896
"330126",40.748363,-73.98041
"330130",40.785294,-73.969345
"330132",40.721935,-73.987404
"330157",40.714,-73.99093
"330158",40.77039,-73.954124
"330172",40.75831,-73.96294
"330192",40.79465,-73.971794
"330200",40.760254,-73.967545
"330204",40.864807,-73.91937
"330205",40.754547,-73.983406
"330214",40.72543,-73.99678
"330216",40.72084,-74.00066
"330245",40.755142,-73.9876
"330253",40.736103,-73.99354
"330254",40.824814,-73.93677
"330262",40.762394,-73.97861
"330290",40.713806,-74.01372
"330300",40.742493,-73.99312
"330301",40.766197,-73.97955
"330310",40.729557,-73.98991
"330316",40.736443,-73.9776
"330326",40.763523,-73.99485
"330335",40.79384,-73.97054
"330337",40.763645,-73.97769
"330339",40.79976,-73.96622
"330363",40.754128,-73.98834
"330377",40.76912,-73.95505
"330381",40.85513,-73.93016
"330387",40.776604,-73.94663
"330391",40.758007,-73.96625
"330394",40.74822,-74.007484
"330417",40.87164,-73.91311
"330421",40.836456,-73.940895
"330428",40.774166,-73.97902
"330435",40.721573,-73.997765
"330440",40.810856,-73.939026
"330450",40.75054,-73.990944
"330451",40.745277,-73.977104
"330452",40.765297,-73.982056
"330475",40.721222,-73.98864
"330477",40.704964,-74.01172
"330484",40.778484,-73.94526
"330485",40.77233,-73.958725
"330486",40.717922,-73.99511
"330487",40.75979,-73.98793
"330506",40.741127,-73.97502
"330510",40.709614,-74.011505
"330514",40.77936,-73.97737
"330518",40.76121,-73.9842
"330520",40.79945,-73.96745
"330536",40.851185,-73.93629
"330540",40.73995,-73.986534
"330541",40.75991,-73.95882
"330563",40.752117,-73.97556
"330564",40.751656,-73.99014
"330569",40.719643,-73.99435
"330571",40.794468,-73.93964
"330579",40.85795,-73.92727
"330588",40.77071,-73.95094
"330624",40.734493,-73.97879
"330631",40.72809,-73.98646
"330646",40.75898,-73.99595
"330664",40.748123,-73.97794
"330681",40.756767,-73.98272
"330691",40.732903,-73.99235
"330705",40.798695,-73.936554
"330709",40.717518,-73.99056
"330753",40.755978,-73.97697
"330757",40.75619,-73.99057
"330764",40.849144,-73.93548
"330770",40.808075,-73.9383
"330776",40.75645,-73.97032
"330805",40.757915,-73.99145
"330809",40.786423,-73.97807
"330821",40.75522,-73.97907
"330822",40.75939,-73.98508
"330843",40.767284,-73.99363
"330848",40.742832,-74.00771
"330849",40.755867,-73.998215
"330858",40.753674,-73.98074
"330865",40.74901,-73.98384
"330868",40.758503,-73.99284
"330870",40.76286,-73.98941
"330885",40.791702,-73.96838
"330894",40.79793,-73.934
"330897",40.73068,-74.00062
"330904",40.74772,-73.98682
"330909",40.75734,-73.98602
"330910",40.75889,-73.98579
"330912",40.764896,-73.97256
"330917",40.759163,-73.988396
"330918",40.75913,-73.98635
"330919",40.743492,-73.98259
"330935",40.802338,-73.93389
"330940",40.789684,-73.94815
"330955",40.757767,-73.985146
"330967",40.764053,-73.96476
"330975",40.84998,-73.9335
"330977",40.765892,-73.9809
"331017",40.867794,-73.929985
"331018",40.785866,-73.950935
"331022",40.750957,-73.98273
"331023",40.84924,-73.92881
"331039",40.779995,-73.976906
"331054",40.788418,-73.97077
"331055",40.75766,-73.99084
"331060",40.84019,-73.94307
"331073",40.749954,-73.994064
"331074",40.727352,-73.985504
